course_title,url,num_subscribers,difficulty,description,organization
Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,2147.0,All Levels,Business Finance,Udemy
Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,2792.0,All Levels,Business Finance,Udemy
Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,2174.0,Intermediate Level,Business Finance,Udemy
Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,2451.0,All Levels,Business Finance,Udemy
How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,1276.0,Intermediate Level,Business Finance,Udemy
Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,9221.0,All Levels,Business Finance,Udemy
Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,1540.0,Beginner Level,Business Finance,Udemy
"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,2917.0,All Levels,Business Finance,Udemy
Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,5172.0,Expert Level,Business Finance,Udemy
The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,827.0,All Levels,Business Finance,Udemy
Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,4284.0,All Levels,Business Finance,Udemy
Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,1380.0,All Levels,Business Finance,Udemy
Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,3607.0,All Levels,Business Finance,Udemy
Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,4061.0,All Levels,Business Finance,Udemy
Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,294.0,All Levels,Business Finance,Udemy
Short Selling: Learn To Sell Stocks Before The Fall,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,2276.0,Intermediate Level,Business Finance,Udemy
Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,4919.0,Beginner Level,Business Finance,Udemy
The Complete Chart Pattern Trading Course: A Proven Approach,https://www.udemy.com/make-money-trading-stocks-from-home/,2666.0,All Levels,Business Finance,Udemy
7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.udemy.com/7-deadly-mistakes-of-investing/,5354.0,All Levels,Business Finance,Udemy
Financial Statements Made Easy,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,8095.0,Beginner Level,Business Finance,Udemy
